u1	f1	u2	f2	u3	f3
15.0150	163.4637	15.0150	164.8549	15.0150	174.6037
15.0551	162.7063	15.0551	163.9509	15.0551	173.9065
15.0951	162.0549	15.0951	163.2529	15.0951	173.2600
15.1351	161.9000	15.1351	162.5061	15.1351	172.6488
15.1752	160.8551	15.1752	161.7000	15.1752	172.1061
15.2152	160.2031	15.2152	161.1504	15.2152	171.5525
15.2553	159.4011	15.2553	160.6499	15.2553	171.1008
15.2953	158.8504	15.2953	160.1502	15.2953	170.2513
15.3353	158.4495	15.3353	159.8502	15.3353	169.9502
15.3754	157.3000	15.3754	159.3453	15.3754	168.9502
15.4154	156.8476	15.4154	158.4474	15.4154	168.2986
15.4555	156.5493	15.4555	157.6965	15.4555	168.3035
15.4955	155.6965	15.4955	157.1980	15.4955	167.9977
15.5355	155.1446	15.5355	156.1426	15.5355	166.8984
15.5756	154.6000	15.5756	155.6976	15.5756	166.5471
15.6156	154.2456	15.6156	154.8917	15.6156	165.8465
15.6557	153.4416	15.6557	154.3484	15.6557	165.4972
15.6957	153.0945	15.6957	153.9954	15.6957	164.7937
15.7357	152.2958	15.7357	153.1388	15.7357	164.4964
15.7758	152.5477	15.7758	152.8000	15.7758	163.5910
15.8158	152.2000	15.8158	152.2429	15.8158	163.6956
15.8559	151.6000	15.8559	151.6346	15.8559	162.9429
15.8959	151.3942	15.8959	150.6402	15.8959	162.7408
15.9359	151.0408	15.9359	149.9000	15.9359	162.3000
15.9760	151.0533	15.9760	149.1853	15.9760	161.8000
16.0160	150.9930	16.0160	148.3228	16.0160	161.1936
16.0561	150.7000	16.0561	148.3918	16.0561	160.6689
16.0961	150.2922	16.0961	147.4924	16.0961	160.0464
16.1361	149.7918	16.1361	146.9761	16.1361	159.2311
16.1762	149.8372	16.1762	146.0360	16.1762	158.7381
16.2162	149.5374	16.2162	145.4267	16.2162	158.8084
16.2563	149.3453	16.2563	144.9454	16.2563	158.3737
16.2963	148.9451	16.2963	144.5165	16.2963	157.4817
16.3363	148.7903	16.3363	143.8890	16.3363	157.0357
16.3764	148.4447	16.3764	143.4330	16.3764	157.0448
16.4164	148.6000	16.4164	142.4446	16.4164	156.6782
16.4565	148.4443	16.4565	141.4333	16.4565	155.9677
16.4965	148.0670	16.4965	141.3437	16.4965	155.2112
16.5365	147.4635	16.5365	140.7870	16.5365	155.1320
16.5766	147.1437	16.5766	140.1599	16.5766	154.7437
16.6166	146.9306	16.6166	138.8181	16.6166	154.6438
16.6567	147.0000	16.6567	137.9146	16.6567	154.0309
16.6967	146.8862	16.6967	137.2709	16.6967	153.6429
16.7367	147.0000	16.7367	136.6860	16.7367	153.1296
16.7768	146.8573	16.7768	136.0569	16.7768	152.8430
16.8168	146.7855	16.8168	135.4842	16.8168	152.3284
16.8569	146.2278	16.8569	134.5266	16.8569	151.7424
16.8969	146.3158	16.8969	134.2266	16.8969	151.4424
16.9369	146.4419	16.9369	133.1941	16.9369	151.0844
16.9770	145.7677	16.9770	132.6826	16.9770	150.5420
17.0170	145.7418	17.0170	132.0056	17.0170	150.2091
17.0571	145.5479	17.0571	131.0657	17.0571	150.2000
17.0971	145.2411	17.0971	130.7412	17.0971	149.7414
17.1371	145.4455	17.1371	129.9241	17.1371	148.8473
17.1772	145.2407	17.1772	129.2000	17.1772	148.4215
17.2172	144.9026	17.2172	127.9822	17.2172	148.2597
17.2573	144.8791	17.2573	127.3597	17.2573	148.4406
17.2973	144.8599	17.2973	126.9986	17.2973	147.9000
17.3373	145.0197	17.3373	125.7766	17.3373	147.4601
17.3774	145.0000	17.3774	125.0398	17.3774	147.1800
17.4174	145.3000	17.4174	124.2584	17.4174	147.1602
17.4575	145.0000	17.4575	123.5167	17.4575	146.4584
17.4975	144.6000	17.4975	122.6323	17.4975	145.9971
17.5375	144.7222	17.5375	121.8610	17.5375	145.7000
17.5776	144.9000	17.5776	120.8941	17.5776	145.0780
17.6176	145.0839	17.6176	120.2524	17.6176	144.8612
17.6577	145.5000	17.6577	119.5275	17.6577	144.6906
17.6977	145.7000	17.6977	118.5516	17.6977	144.5000
17.7377	145.7137	17.7377	118.1500	17.7377	143.7528
17.7778	145.5863	17.7778	117.1612	17.7778	143.9480
17.8178	146.2000	17.8178	116.1371	17.8178	144.2129
17.8579	146.1000	17.8579	115.3374	17.8579	143.8742
17.8979	146.7629	17.8979	114.8476	17.8979	143.2748
17.9379	146.8893	17.9379	114.0191	17.9379	143.1628
17.9780	147.7165	17.9780	112.9089	17.9780	142.8473
